영문,한글,열량,탄수화물,단백질,지방,콜레스테롤,나트륨,칼슘,철
bibimbap,비빔밥,142,22.5,4.47,3.81,43.96,317,53,0.62
bulgogi,불고기,186,6.73,10.33,13.16,47.63,468,18,1.4
dumpling,만두,195,27,6,7,0,350,65,3.1
honey_rice_cake,꿀떡,228,49.48,3.74,1.73,0,275,15,0.36
jajangmyeon,자장면,165,29.07,5.4,2.52,2.39,409,20,0.39
kimbap,김밥,140,19.98,4.84,4.55,19.3,307,36,0.3
portk_belly,삼겹살,467,0.35,22.56,41.69,39.72,576,9,0.69
ramen,라면,82,13.65,1.72,2.28,0,283,33,0.07
seaweed_soup,미역국,12,0.87,0.65,0.61,0,168,19,0.27
tofu_sushi,유부초밥,165,31.26,4.32,3.77,0,255,63,0.39
